Z daughter, A daughter, element daughter, Z parent, A parent, element parent, metastable, independent thermal FY jeff3.1.1, unc, independent fast FY jeff3.1.1, unc, independent 14MeV FY jeff3.1.1, unc,Extraction date
28,69,Ni,92,235,U,1,3.3182E-09,6.274E-10,4.863E-09,9.4385E-10,1.3533E-06,4.8519E-07,2021-04-28
28,70,Ni,92,235,U,0,2.5142E-08,4.4058E-09,2.7888E-08,6.6813E-09,2.3299E-06,8.5963E-07,2021-04-28
28,71,Ni,92,235,U,0,5.5952E-08,1.3699E-08,4.297E-08,1.4464E-08,7.9952E-07,3.0373E-07,2021-04-28
28,72,Ni,92,235,U,0,9.899E-08,3.023E-08,4.9848E-08,1.851E-08,3.0314E-07,1.1308E-07,2021-04-28
28,73,Ni,92,235,U,0,7.4109E-08,2.8607E-08,2.7701E-08,1.0755E-08,9.0535E-08,3.3381E-08,2021-04-28
28,74,Ni,92,235,U,0,5.0232E-08,2.0143E-08,1.0706E-08,4.3018E-09,2.9107E-08,1.1105E-08,2021-04-28
28,75,Ni,92,235,U,0,1.366E-08,5.2645E-09,2.1473E-09,8.4366E-10,3.669E-09,1.4316E-09,2021-04-28
28,76,Ni,92,235,U,0,7.0615E-09,2.6935E-09,2.8974E-10,1.1274E-10,6.4331E-10,2.4723E-10,2021-04-28
28,77,Ni,92,235,U,0,5.6068E-10,2.0299E-10,1.8116E-11,7.1155E-12,4.6104E-11,1.6907E-11,2021-04-28
28,78,Ni,92,235,U,0,4.3132E-11,1.5106E-11, , ,4.5993E-12,1.8046E-12,2021-04-28
29,65,Cu,92,235,U,0,0,0,0,0,1.99E-07,6.9415E-08,2021-04-28
29,66,Cu,92,235,U,0,0,0,0,0,6.5722E-07,2.352E-07,2021-04-28
29,67,Cu,92,235,U,0,1.7997E-12,6.9448E-13,1.2112E-11,4.7227E-12,3.0743E-06,7.5879E-07,2021-04-28
29,68,Cu,92,235,U,0,1.1663E-11,4.5236E-12,5.9936E-11,2.3079E-11,9.7692E-07,2.4562E-07,2021-04-28
29,68,Cu,92,235,U,1,2.7318E-11,1.0595E-11,1.6337E-10,6.2907E-11,4.4115E-06,1.1092E-06,2021-04-28
29,69,Cu,92,235,U,0,7.0641E-10,2.7137E-10,3.1154E-09,1.0769E-09,1.2284E-05,2.5263E-06,2021-04-28
29,70,Cu,92,235,U,0,4.2598E-10,1.5753E-10,1.4602E-09,4.1126E-10,5.3464E-07,1.5271E-07,2021-04-28
29,70,Cu,92,235,U,1,4.7457E-09,1.755E-09,1.8649E-08,5.2522E-09,1.0866E-05,3.1036E-06,2021-04-28
29,70,Cu,92,235,U,3,4.2598E-10,1.5753E-10,1.4602E-09,4.1126E-10,5.3464E-07,1.5271E-07,2021-04-28
29,71,Cu,92,235,U,0,4.5778E-08,1.2679E-08,1.1498E-07,2.2813E-08,1.5449E-05,4.5456E-06,2021-04-28
29,72,Cu,92,235,U,0,1.6542E-07,3.9884E-08,3.3522E-07,7.2203E-08,6.8726E-06,2.3632E-06,2021-04-28
29,73,Cu,92,235,U,0,4.766E-07,1.3232E-07,7.2248E-07,2.0095E-07,8.0451E-06,2.8273E-06,2021-04-28
29,74,Cu,92,235,U,0,7.2636E-07,2.5699E-07,8.0855E-07,2.9397E-07,3.1403E-06,1.1859E-06,2021-04-28
29,75,Cu,92,235,U,0,8.4969E-07,3.0686E-07,7.1522E-07,2.7215E-07,1.5969E-06,6.2115E-07,2021-04-28
29,76,Cu,92,235,U,0,5.455E-07,2.052E-07,1.5419E-07,5.968E-08,1.7399E-07,6.6835E-08,2021-04-28
29,76,Cu,92,235,U,1,5.455E-07,2.052E-07,1.5419E-07,5.968E-08,1.7399E-07,6.6835E-08,2021-04-28
29,77,Cu,92,235,U,0,4.0237E-07,1.4515E-07,9.1152E-08,3.578E-08,1.0247E-07,3.7575E-08,2021-04-28
29,78,Cu,92,235,U,0,8.2898E-08,2.9021E-08,1.2676E-08,4.813E-09,1.3203E-08,5.1802E-09,2021-04-28
29,79,Cu,92,235,U,0,1.3638E-08,4.4636E-09,1.1339E-09,4.2465E-10,2.3477E-09,8.9194E-10,2021-04-28
29,80,Cu,92,235,U,0,9.5252E-10,2.9715E-10,4.0232E-11,1.4898E-11,1.3494E-10,5.0793E-11,2021-04-28
30,66,Zn,92,235,U,0,0,0,0,0,5.1487E-08,2.0735E-08,2021-04-28
30,67,Zn,92,235,U,0,0,0,0,0,2.7836E-07,1.0353E-07,2021-04-28
30,68,Zn,92,235,U,0,0,0,0,0,1.8135E-06,6.2305E-07,2021-04-28
30,69,Zn,92,235,U,0,1.5328E-12,6.1456E-13,6.8341E-12,2.7124E-12,5.1448E-07,1.7172E-07,2021-04-28
30,69,Zn,92,235,U,1,6.6291E-12,2.6578E-12,3.3942E-11,1.3472E-11,4.0955E-06,1.367E-06,2021-04-28
30,70,Zn,92,235,U,0,2.8197E-10,1.1474E-10,1.1652E-09,4.5147E-10,1.6214E-05,3.8805E-06,2021-04-28
30,71,Zn,92,235,U,0,9.8927E-10,3.7476E-10,2.7795E-09,1.0415E-09,2.5825E-06,6.1256E-07,2021-04-28
30,71,Zn,92,235,U,1,4.2784E-09,1.6208E-09,1.3804E-08,5.1726E-09,2.0558E-05,4.8763E-06,2021-04-28
30,72,Zn,92,235,U,0,7.4339E-08,2.4238E-08,1.7338E-07,5.4354E-08,3.7511E-05,5.4054E-06,2021-04-28
30,73,Zn,92,235,U,0,4.3619E-08,1.26E-08,7.8635E-08,1.9095E-08,2.8475E-06,6.8983E-07,2021-04-28
30,73,Zn,92,235,U,1,5.9629E-08,1.7224E-08,1.0876E-07,2.6411E-08,4.0508E-06,9.8136E-07,2021-04-28
30,73,Zn,92,235,U,2,3.3779E-07,9.7576E-08,7.0932E-07,1.7225E-07,4.2623E-05,1.0326E-05,2021-04-28
30,74,Zn,92,235,U,0,2.4645E-06,4.5241E-07,3.4994E-06,6.4034E-07,7.2867E-05,2.0164E-05,2021-04-28
30,75,Zn,92,235,U,0,5.9628E-06,8.4783E-07,7.9226E-06,1.7382E-06,4.3441E-05,1.5443E-05,2021-04-28
30,76,Zn,92,235,U,0,3.0264E-05,5.9085E-06,1.3526E-05,3.8687E-06,3.7078E-05,1.3538E-05,2021-04-28
30,77,Zn,92,235,U,0,2.2506E-05,6.1315E-06,1.0399E-05,3.7493E-06,1.223E-05,4.4262E-06,2021-04-28
30,77,Zn,92,235,U,1,3.4404E-06,9.3732E-07,1.3845E-06,4.992E-07,1.0188E-06,3.6873E-07,2021-04-28
30,78,Zn,92,235,U,0,2.4403E-05,7.53E-06,7.4835E-06,2.7779E-06,7.0442E-06,2.7545E-06,2021-04-28
30,79,Zn,92,235,U,0,1.0291E-05,3.256E-06,2.2488E-06,8.3964E-07,1.6243E-06,6.168E-07,2021-04-28
30,80,Zn,92,235,U,0,3.5855E-06,1.1067E-06,4.1188E-07,1.5247E-07,4.176E-07,1.5717E-07,2021-04-28
30,81,Zn,92,235,U,0,3.3417E-07,1.1244E-07,3.81E-08,1.2742E-08,3.9133E-08,1.5161E-08,2021-04-28
30,82,Zn,92,235,U,0,2.6192E-08,9.0907E-09,2.2541E-09,6.9952E-10,4.8684E-09,1.8368E-09,2021-04-28
30,83,Zn,92,235,U,0,8.719E-10,3.0737E-10,4.3937E-11,1.5139E-11,2.3838E-10,8.541E-11,2021-04-28
31,69,Ga,92,235,U,0,0,0,0,0,2.8302E-07,1.0975E-07,2021-04-28
31,71,Ga,92,235,U,0,1.3978E-11,5.4526E-12,8.577E-11,3.4021E-11,6.1126E-06,2.1471E-06,2021-04-28
31,72,Ga,92,235,U,0,4.384E-10,1.6714E-10,2.4502E-09,9.5839E-10,1.0411E-05,3.3726E-06,2021-04-28
31,72,Ga,92,235,U,1,4.9361E-11,1.8819E-11,2.4084E-10,9.4208E-11,6.4334E-07,2.0841E-07,2021-04-28
31,73,Ga,92,235,U,0,1.2375E-08,4.9505E-09,5.6347E-08,2.1656E-08,5.284E-05,1.2224E-05,2021-04-28
31,74,Ga,92,235,U,0,7.722E-08,3.0436E-08,2.8762E-07,1.079E-07,4.2852E-05,1.0878E-05,2021-04-28
31,74,Ga,92,235,U,1,7.722E-08,3.0436E-08,2.8762E-07,1.079E-07,4.2852E-05,1.0878E-05,2021-04-28
