Incident energy ; 
Incident energy ; 
Incident energy ; NP
15.9 ; 2.886256
15.9816 ; 2.885406
16.0401 ; 2.884706
16.0986 ; 2.883933
16.1572 ; 2.883087
16.2742 ; 2.881226
16.3327 ; 2.880209
16.3912 ; 2.879132
16.44971 ; 2.877999
16.5 ; 2.876977
16.5667 ; 2.875549
16.68381 ; 2.872884
16.74229 ; 2.871449
16.8 ; 2.869969
16.8593 ; 2.868384
16.9763 ; 2.86505
17.0349 ; 2.863267
17.0934 ; 2.861413
17.2 ; 2.857908
17.3 ; 2.854491
17.38901 ; 2.851774
17.4297 ; 2.850703
17.4622 ; 2.849969
17.4866 ; 2.849535
17.511 ; 2.849215
17.5354 ; 2.848999
17.5761 ; 2.8488
17.67371 ; 2.848707
17.755 ; 2.848893
17.78751 ; 2.849108
17.8201 ; 2.84947
17.8445 ; 2.84985
17.89999 ; 2.850962
18.0 ; 2.853436
18.10001 ; 2.856394
18.2 ; 2.859645
18.3 ; 2.863186
18.39999 ; 2.867005
18.5 ; 2.871022
18.7 ; 2.878735
18.8 ; 2.881715
18.89999 ; 2.883647
19.0 ; 2.884409
19.10001 ; 2.884119
19.2 ; 2.883058
19.3 ; 2.881544
19.39999 ; 2.879838
19.60001 ; 2.876474
19.7 ; 2.87496
19.8 ; 2.873584
19.89999 ; 2.87234
20.0 ; 2.871213
20.10001 ; 2.870186
20.2 ; 2.869242
20.3 ; 2.868365
20.39999 ; 2.867541
20.60001 ; 2.866006
20.8 ; 2.864568
21.10001 ; 2.862511
21.39999 ; 2.860576
21.5 ; 2.859977
21.7 ; 2.858899
21.8 ; 2.858442
21.89999 ; 2.858067
22.2672 ; 2.857558
22.5105 ; 2.857799
22.60001 ; 2.858045
22.7 ; 2.858387
22.8 ; 2.858787
23.3 ; 2.860714
23.39999 ; 2.86081
23.60001 ; 2.859608
23.6897 ; 2.857111
23.69591 ; 2.856818
23.7084 ; 2.856175
23.72701 ; 2.855102
23.7953 ; 2.85106
23.8 ; 2.850836
23.8139 ; 2.85024
23.82629 ; 2.849791
23.8387 ; 2.849415
23.8512 ; 2.849109
23.8698 ; 2.848769
23.8884 ; 2.84855
23.907 ; 2.848442
23.91949 ; 2.848427
23.94431 ; 2.848531
23.9567 ; 2.848656
23.9753 ; 2.848951
23.98779 ; 2.849231
24.0002 ; 2.849591
