 U-235(n,total fission) ENDFB-8.0
Energy(eV) XS(b)
0.00265625 1881.82
0.00275000 1848.97
0.00284375 1817.76
0.00293750 1788.05
0.00303125 1759.72
0.00312500 1732.67
0.00321875 1706.82
0.00331250 1682.06
0.00340625 1658.33
0.00350000 1635.56
0.00359375 1613.68
0.00368750 1592.64
0.00378125 1572.39
0.00387500 1552.88
0.00396875 1534.05
0.00406250 1515.88
0.00425000 1481.36
0.00443750 1449.05
0.00462500 1418.72
0.00481250 1390.17
0.00500000 1363.24
0.00515625 1341.93
0.00531250 1321.56
0.00546875 1302.08
0.00562500 1283.41
0.00578125 1265.50
0.00593750 1248.30
0.00609375 1231.77
0.00625000 1215.87
0.00640625 1200.54
0.00656250 1185.77
0.00671875 1171.52
0.00687500 1157.76
0.00718750 1131.59
0.00750000 1107.08
0.00781250 1084.05
0.00812500 1062.36
0.00843750 1041.89
0.00875000 1022.53
0.00906250 1004.18
0.00937500 986.754
0.00968750 970.180
0.0100000 954.391
0.0103125 939.326
0.0106250 924.932
0.0109375 911.160
0.0112500 897.968
0.0115625 885.314
0.0118750 873.164
0.0121875 861.484
0.0125000 850.246
0.0128125 839.422
0.0131250 828.986
0.0134375 818.915
0.0137500 809.190
0.0140625 799.789
0.0143750 790.694
0.0150000 773.360
0.0156250 757.067
0.0162500 741.713
0.0168750 727.208
0.0175000 713.475
0.0181250 700.447
0.0187500 688.064
0.0193750 676.273
0.0200000 665.026
0.0206625 653.654
0.0213250 642.801
0.0219875 632.429
0.0226500 622.501
0.0233125 612.985
0.0239750 603.852
0.0246375 595.075
0.0253000 586.631
0.0258307 580.093
0.0263613 573.744
0.0274227 561.580
0.0284840 550.070
0.0295453 539.157
0.0306067 528.787
0.0316680 518.916
0.0327293 509.504
0.0337906 500.516
0.0345143 494.613
0.0352379 488.885
0.0359615 483.320
0.0366852 477.913
0.0381324 467.539
0.0395797 457.708
0.0410270 448.373
0.0424742 439.491
0.0439215 431.027
0.0453688 422.948
0.0465266 416.744
0.0476844 410.756
0.0488422 404.972
0.0500000 399.380
0.0515625 392.121
0.0531250 385.171
0.0546875 378.508
0.0562500 372.115
0.0578125 365.973
0.0593750 360.067
0.0609375 354.383
0.0625000 348.908
0.0640625 343.629
0.0656250 338.537
0.0671875 333.620
0.0687500 328.870
0.0703125 324.277
0.0718750 319.835
0.0734375 315.535
0.0750000 311.371
0.0765625 307.337
0.0781250 303.426
0.0796875 299.635
0.0812500 295.956
0.0843750 288.914
0.0875000 282.265
0.0906250 275.978
0.0937500 270.027
0.0968750 264.387
0.100000 259.039
0.103655 253.128
0.107309 247.564
0.110964 242.321
0.114618 237.378
0.118273 232.716
0.121927 228.319
0.125582 224.172
0.129236 220.263
0.132891 216.580
0.136545 213.113
0.140200 209.854
0.143854 206.796
0.147509 203.931
0.151163 201.255
0.154818 198.762
0.158472 196.450
0.162261 194.239
0.166051 192.216
0.169840 190.379
0.173630 188.727
0.177419 187.259
0.181209 185.976
0.184998 184.877
0.188788 183.962
0.191591 183.404
0.194394 182.948
0.197197 182.593
0.200000 182.339
0.204273 182.147
0.207211 182.150
0.210149 182.262
0.213087 182.482
0.216024 182.807
0.218962 183.234
0.221900 183.759
0.224838 184.377
0.227775 185.082
0.233651 186.722
0.239527 188.600
0.245402 190.614
0.248340 191.634
0.251278 192.639
0.254065 193.561
0.256852 194.435
0.259640 195.243
0.262427 195.968
0.265215 196.592
0.268002 197.099
0.270790 197.472
0.273577 197.698
0.275530 197.762
0.277482 197.744
0.279435 197.641
0.281387 197.451
0.283177 197.197
0.284967 196.867
0.286757 196.461
0.288547 195.977
0.290337 195.417
0.292127 194.781
0.293916 194.070
0.295706 193.287
0.297496 192.433
0.299286 191.511
0.301076 190.522
0.302866 189.471
0.306445 187.193
0.310025 184.705
0.312466 182.903
0.314907 181.028
0.319788 177.095
0.324669 172.984
0.329551 168.764
0.334432 164.498
0.339314 160.239
0.341755 158.127
0.344195 156.031
0.346636 153.958
0.349077 151.910
0.352299 149.249
0.355521 146.644
0.358744 144.099
0.361966 141.616
0.365188 139.199
0.368410 136.849
0.371633 134.566
0.374855 132.352
0.378042 130.228
0.381228 128.169
0.384415 126.175
0.387601 124.244
0.390788 122.374
0.393974 120.565
0.397161 118.813
0.400348 117.117
0.403534 115.476
0.406721 113.888
0.409907 112.350
0.413094 110.861
0.416280 109.420
0.419467 108.023
0.422654 106.670
0.425840 105.358
0.429027 104.087
0.432213 102.854
0.435400 101.657
0.438586 100.496
0.441773 99.3684
0.444959 98.2734
0.448146 97.2096
0.451333 96.1759
0.454519 95.1709
0.457706 94.1937
0.460892 93.2431
0.464079 92.3181
0.467265 91.4177
0.470452 90.5410
0.473639 89.6873
0.476825 88.8557
0.480301 87.9728
0.483778 87.1146
0.487254 86.2801
0.490730 85.4685
0.500000 83.4082
0.515625 80.2328
0.531250 77.3799
0.546875 74.8114
0.562500 72.4907
0.578125 70.3871
0.593750 68.4757
0.609375 66.7363
0.625000 65.1524
0.640625 63.7103
0.656250 62.3992
0.671875 61.2100
0.687500 60.1357
0.703125 59.1710
0.718750 58.3119
0.734375 57.5558
0.750000 56.9015
0.765625 56.3492
0.781250 55.9006
0.804688 55.4293
0.828125 55.2166
0.839844 55.2158
0.851563 55.2915
0.863281 55.4495
0.875000 55.6966
0.890625 56.1778
0.906250 56.8527
0.916992 57.4461
0.927734 58.1605
0.938477 59.0098
0.949219 60.0094
0.959961 61.1780
0.970703 62.5377
0.981445 64.1137
0.986817 64.9917
0.992188 65.9349
1.00000 67.4319
1.00818 69.1724
1.01637 71.1056
1.02455 73.2474
1.03273 75.6124
1.04092 78.2118
1.04501 79.6016
1.04910 81.0510
1.05319 82.5597
1.05728 84.1251
1.06546 87.4129
1.07340 90.7627
1.08133 94.2026
1.08926 97.6286
1.09719 100.894
1.10512 103.809
1.11305 106.143
1.11702 107.013
1.12098 107.644
1.12495 108.005
1.12891 108.070
1.13222 107.880
1.13552 107.459
1.13883 106.797
1.14213 105.893
1.14544 104.744
1.14874 103.355
1.15205 101.733
1.15535 99.8896
1.15899 97.6220
1.16262 95.1279
1.16626 92.4344
1.16989 89.5717
1.17353 86.5714
1.17716 83.4681
1.18443 77.0817
1.19170 70.6584
1.19897 64.4096
1.20624 58.4946
1.20988 55.6978
1.21351 53.0209
1.21829 49.6937
1.22307 46.5923
1.22785 43.7179
1.23263 41.0682
1.23740 38.6377
1.24218 36.4194
1.24696 34.4057
1.25174 32.5893
1.25690 30.8397
1.26207 29.3063
1.26724 27.9834
1.27240 26.8654
1.27757 25.9445
1.28273 25.2095
1.28790 24.6432
1.29306 24.2218
1.29738 23.9592
1.30600 23.5933
1.31463 23.3065
1.32108 23.0658
1.32754 22.7687
1.33399 22.4077
1.34044 21.9924
1.34690 21.5417
1.35335 21.0767
1.35981 20.6159
1.36626 20.1729
1.37142 19.8376
1.37657 19.5210
1.38172 19.2240
1.39203 18.6875
1.40233 18.2219
1.41263 17.8178
1.42294 17.4656
1.43324 17.1568
1.44355 16.8843
1.45385 16.6421
1.46931 16.3254
1.48477 16.0533
1.49894 15.8342
1.51310 15.6380
1.52727 15.4603
1.54144 15.2981
1.55561 15.1488
1.56978 15.0103
1.58395 14.8809
1.59812 14.7592
1.62646 14.5348
1.65479 14.3311
1.68313 14.1443
1.69730 14.0566
1.71147 13.9725
1.72693 13.8848
1.74238 13.8016
1.75784 13.7230
1.77330 13.6495
1.78360 13.6037
1.79391 13.5608
1.80421 13.5211
1.81452 13.4853
1.82482 13.4537
1.83513 13.4272
1.84543 13.4068
1.85574 13.3936
1.86346 13.3896
1.87119 13.3916
1.87892 13.4009
1.88665 13.4189
1.89051 13.4318
1.89438 13.4477
1.89824 13.4669
1.90211 13.4898
1.90597 13.5170
1.90984 13.5488
1.91370 13.5860
1.91756 13.6294
1.92143 13.6797
1.92529 13.7381
1.92916 13.8057
1.93302 13.8842
1.93656 13.9671
1.94011 14.0623
1.94365 14.1716
1.94719 14.2974
1.95073 14.4424
1.95250 14.5230
1.95428 14.6097
1.95605 14.7029
1.95782 14.8030
1.95959 14.9107
1.96136 15.0265
1.96305 15.1452
1.96474 15.2724
1.96643 15.4086
1.96812 15.5543
1.96981 15.7104
1.97150 15.8772
1.97319 16.0555
1.97488 16.2457
1.97658 16.4486
1.97827 16.6644
1.97996 16.8941
1.98165 17.1376
1.98334 17.3957
1.98503 17.6683
1.98672 17.9558
1.98841 18.2581
1.99131 18.8107
1.99420 19.4049
1.99710 20.0374
2.00000 20.7030
2.00500 21.9071
2.01000 23.1362
2.01516 24.3601
2.01774 24.9289
2.02032 25.4540
2.02290 25.9249
2.02548 26.3310
2.02806 26.6633
2.03064 26.9137
2.03223 27.0246
2.03382 27.1011
2.03541 27.1424
2.03699 27.1482
2.03978 27.0722
2.04257 26.8884
2.04536 26.6016
2.04815 26.2194
2.05134 25.6784
2.05453 25.0437
2.05821 24.2186
2.06189 23.3263
2.06926 21.4618
2.07255 20.6413
2.07583 19.8490
2.07912 19.0961
2.08240 18.3908
2.08569 17.7375
2.08733 17.4312
2.08897 17.1389
2.09062 16.8601
2.09226 16.5951
2.09390 16.3432
2.09554 16.1045
2.09719 15.8783
2.09883 15.6645
2.10047 15.4623
2.10211 15.2714
2.10376 15.0912
2.10540 14.9213
2.10704 14.7609
2.10868 14.6098
2.11033 14.4673
2.11197 14.3329
2.11361 14.2061
2.11525 14.0865
2.11690 13.9735
2.11854 13.8669
2.12182 13.6707
2.12511 13.4949
2.12839 13.3369
2.13168 13.1944
2.13496 13.0653
2.13735 12.9789
2.14064 12.8690
2.14392 12.7685
2.14721 12.6760
2.15049 12.5907
2.15378 12.5117
2.15706 12.4383
2.16035 12.3698
2.16363 12.3057
2.16692 12.2456
2.17020 12.1890
2.17349 12.1355
2.17677 12.0850
2.18334 11.9914
2.18991 11.9063
2.19558 11.8386
2.20126 11.7754
2.20693 11.7162
2.21261 11.6603
2.21828 11.6074
2.22395 11.5570
2.23530 11.4628
2.24665 11.3757
2.25800 11.2941
2.26935 11.2170
2.28069 11.1434
2.29025 11.0836
2.30220 11.0111
2.31414 10.9405
2.32609 10.8714
2.33803 10.8033
2.36192 10.6686
2.38581 10.5337
2.40970 10.3961
2.43359 10.2530
2.45749 10.1013
2.48138 9.93726
2.51004 9.71758
2.53871 9.46308
2.55305 9.31870
2.56738 9.16039
2.58172 8.98608
2.59605 8.79361
2.60809 8.61653
2.62013 8.42478
2.63217 8.21908
2.64421 8.00233
2.65625 7.78095
2.66829 7.56720
2.68034 7.38161
2.68636 7.30880
2.69238 7.25588
2.69734 7.23133
2.70231 7.22797
2.70728 7.24968
2.71225 7.30041
2.71691 7.37787
2.72157 7.48738
2.72623 7.63170
2.73088 7.81312
2.73554 8.03333
2.74020 8.29306
2.74486 8.59229
2.74952 8.92995
2.75634 9.48943
2.76317 10.1159
2.76999 10.7948
2.77681 11.5084
2.78364 12.2373
2.79046 12.9623
2.79728 13.6661
2.80411 14.3339
2.81093 14.9549
2.81775 15.5224
2.82458 16.0334
2.83140 16.4888
2.83756 16.8549
2.84372 17.1823
2.85604 17.7400
2.86836 18.2034
2.87453 18.4124
2.88069 18.6123
2.89037 18.9180
2.90005 19.2254
2.90973 19.5467
2.91941 19.8922
2.92909 20.2716
2.93877 20.6939
2.94845 21.1684
2.95813 21.7048
2.96781 22.3139
2.97749 23.0076
2.98718 23.7996
2.99202 24.2375
2.99686 24.7059
3.00170 25.2076
3.00654 25.7446
3.01138 26.3200
3.01622 26.9362
3.02106 27.5963
3.02590 28.3031
3.03074 29.0597
3.03558 29.8690
3.04086 30.8153
3.04614 31.8307
3.05142 32.9178
3.05670 34.0784
3.06289 35.5321
3.06908 37.0837
3.07526 38.7264
3.08145 40.4464
3.08764 42.2245
3.09383 44.0325
3.10620 47.5891
3.11610 50.1653
3.12043 51.1544
3.12477 52.0308
3.12910 52.7753
3.13344 53.3700
3.13777 53.7995
3.14210 54.0508
3.14644 54.1144
3.15077 53.9847
3.15449 53.7180
3.15820 53.3096
3.16161 52.8139
3.16502 52.2071
3.16843 51.4950
3.17183 50.6855
3.17524 49.7868
3.17865 48.8088
3.18546 46.6557
3.19042 44.9649
3.19538 43.2067
3.20259 40.5933
3.20980 37.9941
3.21701 35.4821
3.22422 33.1128
3.23143 30.9237
3.23864 28.9362
3.24585 27.1582
3.25306 25.5873
3.25711 24.7913
3.26117 24.0557
3.26522 23.3778
3.26928 22.7549
3.27469 22.0044
3.28212 21.1106
3.28956 20.3606
3.29700 19.7384
3.30443 19.2294
3.31187 18.8208
3.31930 18.5019
3.32674 18.2635
3.33417 18.0983
3.33958 18.0204
3.34499 17.9762
3.35040 17.9640
3.35648 17.9871
3.36256 18.0479
3.36865 18.1456
3.37473 18.2798
3.38082 18.4507
3.38690 18.6586
3.39298 18.9045
3.39907 19.1897
3.40650 19.5943
3.41394 20.0649
3.42137 20.6070
3.42881 21.2277
3.43625 21.9361
3.44368 22.7429
3.44740 23.1874
3.45112 23.6617
3.45484 24.1680
3.45855 24.7084
3.46464 25.6741
3.47072 26.7518
3.47376 27.3373
3.47680 27.9568
3.47985 28.6123
3.48289 29.3066
3.48593 30.0422
3.48897 30.8218
3.49201 31.6487
3.49506 32.5259
3.49810 33.4569
3.50114 34.4452
3.50418 35.4946
3.50722 36.6085
3.51094 38.0641
3.51466 39.6297
3.51838 41.3123
3.52210 43.1186
3.52581 45.0547
3.52953 47.1255
3.53325 49.3345
3.53697 51.6825
3.54076 54.2207
3.54455 56.8986
3.54834 59.7077
3.55213 62.6339
3.55593 65.6603
3.55972 68.7617
3.56730 75.0614
3.57630 82.3243
3.58080 85.6747
3.58530 88.7148
3.58980 91.3496
3.59430 93.4880
3.59880 95.0472
3.60330 95.9581
3.60780 96.1691
3.61231 95.6496
3.61531 94.8923
3.61832 93.8109
3.62208 92.0177
3.62584 89.7612
3.62959 87.0803
3.63335 84.0225
3.63711 80.6426
3.64087 77.0000
3.64463 73.1568
3.64838 69.1765
3.65442 62.6395
3.66046 56.1354
3.66650 49.8572
3.66952 46.8524
3.67254 43.9567
3.67733 39.6166
3.67973 37.5693
3.68212 35.6082
3.68451 33.7331
3.68691 31.9459
3.68930 30.2456
3.69169 28.6313
3.69430 26.9664
3.69691 25.3994
3.69931 24.0461
3.70170 22.7704
3.70409 21.5682
3.70649 20.4373
3.70888 19.3736
3.71127 18.3745
3.71367 17.4364
3.71606 16.5559
3.71845 15.7294
3.72085 14.9544
3.72324 14.2272
3.72563 13.5454
3.72803 12.9056
3.73042 12.3058
3.73281 11.7429
3.73521 11.2147
3.73869 10.5033
3.74217 9.85419
3.74565 9.26134
3.74913 8.71946
3.75261 8.22367
3.75610 7.77000
3.75958 7.35447
3.76306 6.97363
3.76567 6.70887
3.76828 6.46069
3.77089 6.22798
3.77350 6.00982
3.77659 5.76907
3.77968 5.54578
3.78276 5.33863
3.78585 5.14645
3.78868 4.98235
3.79151 4.82911
3.79717 4.55203
3.80283 4.30990
3.80849 4.09815
3.81416 3.91273
3.81982 3.75026
3.82548 3.60771
3.83114 3.48255
3.83577 3.39149
3.84040 3.30952
3.84503 3.23566
3.84966 3.16912
3.85893 3.05505
3.86819 2.96233
3.87745 2.88702
3.88671 2.82600
3.89598 2.77679
3.90524 2.73736
3.91347 2.70919
3.92171 2.68649
3.92994 2.66846
3.93817 2.65442
3.95464 2.63607
3.97111 2.62777
3.98346 2.62652
3.99581 2.62858
4.00816 2.63328
4.02051 2.64007
4.03286 2.64852
4.04521 2.65828
4.06991 2.68061
4.09461 2.70537
4.11931 2.73147
4.14401 2.75823
4.16871 2.78524
4.20165 2.82133
4.23458 2.85746
4.26340 2.88929
4.29222 2.92161
4.32104 2.95485
4.34985 2.98959
4.37867 3.02656
4.39308 3.04617
4.40749 3.06669
4.42190 3.08828
4.43631 3.11112
4.45072 3.13538
4.46512 3.16131
4.48159 3.19331
4.49806 3.22828
4.51452 3.26679
4.53099 3.30952
4.53923 3.33275
4.55055 3.36701
4.56187 3.40432
4.57319 3.44515
4.58451 3.49008
4.59583 3.53977
4.60149 3.56666
4.60715 3.59508
4.61281 3.62516
4.61847 3.65706
4.62413 3.69096
4.62979 3.72705
4.63803 3.78398
4.64626 3.84689
4.65038 3.88092
4.65450 3.91685
4.65861 3.95486
4.66273 3.99514
4.66685 4.03793
4.67096 4.08346
4.67662 4.15108
4.68229 4.22530
4.68795 4.30718
4.69078 4.35139
4.69361 4.39802
4.69644 4.44730
4.69927 4.49945
4.70210 4.55473
4.70493 4.61345
4.70776 4.67596
4.71059 4.74260
4.71342 4.81380
4.71625 4.89003
4.71869 4.96035
4.72114 5.03518
4.72358 5.11499
4.72603 5.20018
4.72847 5.29132
4.73092 5.38890
4.73336 5.49355
4.73580 5.60595
4.73825 5.72685
4.74069 5.85694
4.74314 5.99716
4.74558 6.14827
4.74803 6.31135
4.75047 6.48726
4.75291 6.67711
4.75536 6.88198
4.75819 7.13952
4.76102 7.42034
4.76385 7.72625
4.76668 8.05895
4.76951 8.42002
4.77234 8.81091
4.77517 9.23282
4.77800 9.68672
4.78083 10.1734
4.78366 10.6926
4.78649 11.2443
4.78932 11.8274
4.79215 12.4405
4.79498 13.0811
4.79781 13.7464
4.80064 14.4324
4.80450 15.3934
4.80836 16.3703
4.81608 18.3052
4.82123 19.5187
4.82453 20.2376
4.82783 20.8941
4.83113 21.4756
4.83443 21.9701
4.83848 22.4421
4.84050 22.6183
4.84252 22.7523
4.84454 22.8431
4.84656 22.8897
4.84858 22.8916
4.85060 22.8486
4.85131 22.8231
4.85324 22.7253
4.85517 22.5874
4.85711 22.4100
4.85904 22.1947
4.86291 21.6552
4.86678 20.9834
4.87009 20.3163
4.87340 19.5774
4.87614 18.9209
4.87888 18.2326
4.88436 16.7913
4.89234 14.6476
4.89633 13.5999
4.90031 12.5917
4.90306 11.9280
4.90580 11.2928
4.90854 10.6883
4.91128 10.1169
4.91402 9.57953
4.91676 9.07732
4.91950 8.61024
4.92224 8.17798
4.92499 7.77969
4.92773 7.41463
4.93047 7.08119
4.93321 6.77808
4.93595 6.50339
4.93869 6.25552
4.94143 6.03255
4.94418 5.83260
4.94667 5.66921
4.94916 5.52206
4.95165 5.38981
4.95414 5.27122
4.95664 5.16507
4.95913 5.07036
4.96162 4.98602
4.96411 4.91110
4.96661 4.84470
4.96910 4.78607
4.97159 4.73445
4.97408 4.68919
4.97657 4.64967
4.97907 4.61535
4.98156 4.58575
4.98405 4.56043
4.98804 4.52785
4.99103 4.50910
4.99402 4.49468
4.99701 4.48414
5.00000 4.47711
5.00424 4.47252
5.00847 4.47351
5.01271 4.47945
5.01695 4.48978
5.02118 4.50409
5.02542 4.52199
5.02966 4.54319
5.03389 4.56742
5.03813 4.59451
5.04237 4.62425
5.04661 4.65652
5.05084 4.69118
5.05508 4.72814
5.05932 4.76733
5.06779 4.85210
5.07304 4.90881
5.07829 4.96862
5.08355 5.03149
5.08880 5.09738
5.09931 5.23824
5.10981 5.39122
5.12032 5.55654
5.13082 5.73448
5.14133 5.92548
5.15183 6.12994
5.16070 6.31350
5.16958 6.50735
5.17845 6.71180
5.18732 6.92712
5.19619 7.15364
5.20506 7.39160
5.22281 7.90280
5.24055 8.46226
5.25830 9.07074
5.26717 9.39333
5.27604 9.72798
5.28491 10.0745
5.29378 10.4325
5.30432 10.8723
5.31485 11.3272
5.32539 11.7967
5.33066 12.0366
5.33592 12.2800
5.34119 12.5267
5.34646 12.7767
5.35173 13.0300
5.35700 13.2866
5.36226 13.5463
5.36753 13.8091
5.37280 14.0749
5.37807 14.3432
5.38307 14.6003
5.38808 14.8588
5.39309 15.1180
5.39810 15.3765
5.40310 15.6333
5.40811 15.8864
5.41312 16.1339
5.41813 16.3735
5.42792 16.8093
5.43282 17.0057
5.43772 17.1845
5.44399 17.3841
5.44713 17.4704
5.45027 17.5472
5.45341 17.6142
5.45654 17.6713
5.45968 17.7186
5.46282 17.7559
5.46461 17.7729
5.46730 17.7927
5.46999 17.8057
5.47334 17.8130
5.47669 17.8110
5.48004 17.8005
5.48339 17.7825
5.48675 17.7577
5.49010 17.7272
5.49345 17.6920
5.49680 17.6530
5.50144 17.5946
5.50608 17.5330
5.51535 17.4076
5.52264 17.3132
5.52993 17.2258
5.53357 17.1851
5.53721 17.1464
5.54086 17.1096
5.54450 17.0746
5.54748 17.0469
5.55046 17.0202
5.55344 16.9941
5.55643 16.9686
5.55941 16.9435
5.56239 16.9186
5.56537 16.8938
5.56835 16.8691
5.57133 16.8441
5.57431 16.8190
5.58028 16.7676
5.58624 16.7143
5.59220 16.6587
5.59684 16.6137
5.60148 16.5672
5.60611 16.5192
5.61075 16.4698
5.62003 16.3670
5.62930 16.2598
5.63858 16.1496
5.64785 16.0377
5.65713 15.9253
5.66640 15.8139
5.67784 15.6797
5.68928 15.5510
5.70071 15.4299
5.71215 15.3181
5.72359 15.2173
5.73503 15.1291
5.75790 14.9955
5.78078 14.9282
5.79221 14.9228
5.80365 14.9381
5.81938 14.9959
5.83510 15.1004
5.85083 15.2565
5.86656 15.4699
5.88228 15.7472
5.89801 16.0962
5.91374 16.5265
5.92946 17.0494
5.94447 17.6471
5.95948 18.3554
5.96698 18.7560
5.97448 19.1907
5.98199 19.6619
5.98949 20.1721
5.99699 20.7243
6.00450 21.3212
6.01200 21.9660
6.01950 22.6618
6.02700 23.4117
6.03451 24.2188
6.04201 25.0859
6.04951 26.0158
6.06128 27.6052
6.07304 29.3584
6.08481 31.2738
6.09657 33.3408
6.10834 35.5371
6.12010 37.8265
6.13187 40.1582
6.14363 42.4668
6.15326 44.2870
6.16289 45.9968
6.17252 47.5540
6.18215 48.9205
6.19179 50.0690
6.20142 50.9859
6.20623 51.3583
6.21105 51.6764
6.21586 51.9446
6.22068 52.1688
6.22415 52.3076
6.22763 52.4310
6.23111 52.5429
6.23459 52.6482
6.23807 52.7520
6.24155 52.8603
6.24503 52.9797
6.24850 53.1176
6.25198 53.2821
6.25546 53.4819
6.25894 53.7270
6.26242 54.0278
6.26590 54.3958
6.26938 54.8431
6.27285 55.3831
6.27633 56.0294
6.27847 56.4864
6.28061 56.9925
6.28246 57.4705
6.28430 57.9900
6.28614 58.5532
6.28798 59.1622
6.28983 59.8200
6.29167 60.5279
6.29351 61.2891
6.29535 62.1049
6.29720 62.9783
6.29904 63.9103
6.30088 64.9037
6.30272 65.9593
6.30457 67.0797
6.30641 68.2650
6.31009 70.8374
6.31270 72.8232
6.31531 74.9455
6.31792 77.2043
6.32053 79.5974
6.32314 82.1219
6.32574 84.7699
6.32835 87.5349
6.33096 90.4072
6.33618 96.4259
6.34139 102.705
6.34661 109.094
6.35183 115.413
6.35679 121.179
6.36176 126.512
6.36672 131.222
6.37169 135.128
6.37599 137.733
6.38028 139.523
6.38458 140.428
6.38888 140.400
6.39200 139.781
6.39356 139.282
6.39747 137.487
6.40138 134.934
6.40528 131.665
6.40919 127.736
6.41317 123.133
6.41714 118.007
6.42112 112.451
6.42509 106.567
6.43066 97.9696
6.43622 89.1944
6.44179 80.4840
6.44735 72.0539
6.45292 64.0719
6.45570 60.2914
6.45848 56.6670
6.46126 53.2063
6.46405 49.9181
6.46683 46.8048
6.46961 43.8683
6.47239 41.1071
6.47518 38.5212
6.47796 36.1059
6.48074 33.8565
6.48352 31.7662
6.48630 29.8297
6.48909 28.0390
6.49187 26.3861
6.49452 24.9293
6.49718 23.5837
6.49984 22.3420
6.50249 21.1976
6.50515 20.1428
6.50780 19.1713
6.51046 18.2767
6.51311 17.4532
6.51577 16.6945
6.51843 15.9954
6.52108 15.3509
6.52374 14.7565
6.52639 14.2073
