 U-238(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 134.556
1.03125E-05 132.502
1.06250E-05 130.539
1.09375E-05 128.660
1.12500E-05 126.861
1.15625E-05 125.135
1.18750E-05 123.477
1.21875E-05 121.884
1.25000E-05 120.351
1.28125E-05 118.874
1.31250E-05 117.450
1.34375E-05 116.077
1.37500E-05 114.750
1.43750E-05 112.228
1.50000E-05 109.865
1.56250E-05 107.645
1.62500E-05 105.555
1.68750E-05 103.582
1.75000E-05 101.715
1.81250E-05 99.9460
1.87500E-05 98.2661
1.93750E-05 96.6682
2.00000E-05 95.1457
2.09375E-05 92.9912
2.18750E-05 90.9767
2.28125E-05 89.0878
2.37500E-05 87.3118
2.46875E-05 85.6379
2.56250E-05 84.0568
2.65625E-05 82.5601
2.75000E-05 81.1406
2.84375E-05 79.7919
2.93750E-05 78.5084
3.03125E-05 77.2848
3.12500E-05 76.1167
3.21875E-05 75.0000
3.31250E-05 73.9311
3.40625E-05 72.9066
3.50000E-05 71.9235
3.59375E-05 70.9792
3.68750E-05 70.0711
3.78125E-05 69.1970
3.87500E-05 68.3549
3.96875E-05 67.5427
4.06250E-05 66.7588
4.25000E-05 65.2696
4.43750E-05 63.8758
4.62500E-05 62.5676
4.81250E-05 61.3367
5.00000E-05 60.1757
5.15625E-05 59.2569
5.31250E-05 58.3790
5.46875E-05 57.5390
5.62500E-05 56.7342
5.78125E-05 55.9623
5.93750E-05 55.2210
6.09375E-05 54.5085
6.25000E-05 53.8228
6.40625E-05 53.1624
6.56250E-05 52.5257
6.71875E-05 51.9114
6.87500E-05 51.3181
7.18750E-05 50.1901
7.50000E-05 49.1334
7.81250E-05 48.1407
8.12500E-05 47.2058
8.43750E-05 46.3234
8.75000E-05 45.4887
9.06250E-05 44.6976
9.37500E-05 43.9463
9.68750E-05 43.2317
0.000100000 42.5509
0.000103125 41.9012
0.000106250 41.2804
0.000109375 40.6864
0.000112500 40.1174
0.000115625 39.5716
0.000118750 39.0474
0.000121875 38.5436
0.000125000 38.0587
0.000128125 37.5918
0.000131250 37.1416
0.000134375 36.7072
0.000137500 36.2876
0.000143750 35.4900
0.000150000 34.7428
0.000156250 34.0409
0.000162500 33.3799
0.000168750 32.7559
0.000175000 32.1657
0.000181250 31.6063
0.000187500 31.0750
0.000193750 30.5697
0.000200000 30.0883
0.000209375 29.4070
0.000218750 28.7700
0.000228125 28.1727
0.000237500 27.6110
0.000246875 27.0817
0.000256250 26.5817
0.000265625 26.1085
0.000275000 25.6596
0.000284375 25.2331
0.000293750 24.8272
0.000303125 24.4403
0.000312500 24.0709
0.000321875 23.7178
0.000331250 23.3798
0.000340625 23.0558
0.000350000 22.7450
0.000359375 22.4464
0.000368750 22.1592
0.000378125 21.8828
0.000387500 21.6165
