 1.000000-5  0.000000+0 0.000000+0                                            
 1.300000+7  8.748771-1 7.733694-1 6.598296-1 5.355091-1 4.021572-1 2.780476-1
             1.834863-1 1.175085-1 6.423735-2 2.763707-2 1.000308-2 3.330098-3
             9.593702-4 2.564023-4 6.497372-5 1.578954-5 3.792505-6 8.481320-7
 1.400000+7  8.713976-1 7.704663-1 6.649617-1 5.500710-1 4.233487-1 3.036251-1
             2.081047-1 1.408178-1 8.306769-2 3.899368-2 1.546814-2 5.555428-3
             1.704518-3 4.839491-4 1.299964-4 3.347717-5 8.581792-6 2.055065-6
 1.500000+7  8.668721-1 7.646123-1 6.660181-1 5.607863-1 4.416081-1 3.278166-1
             2.325170-1 1.645707-1 1.037673-1 5.288005-2 2.286355-2 8.779496-3
             2.854010-3 8.572606-4 2.430585-4 6.600444-5 1.790651-5 4.515806-6
 1.600000+7  8.619917-1 7.568320-1 6.635703-1 5.675132-1 4.567067-1 3.499232-1
             2.562253-1 1.881110-1 1.256452-1 6.911312-2 3.232289-2 1.316551-2
             4.517575-3 1.430978-3 4.266650-4 1.216161-4 3.476218-5 9.218163-6
 1.700000+7  8.573759-1 7.479992-1 6.580939-1 5.701821-1 4.682660-1 3.691034-1
             2.784443-1 2.106704-1 1.478106-1 8.716424-2 4.371301-2 1.877133-2
             6.783195-3 2.261168-3 7.066315-4 2.108914-4 6.079176-5 1.696343-5
             4.749831-6 1.233419-6                                            
 1.800000+7  8.535062-1 7.388993-1 6.502400-1 5.690946-1 4.760985-1 3.847541-1
             2.984112-1 2.315665-1 1.693490-1 1.062325-1 5.664116-2 2.553480-2
             9.704187-3 3.398335-3 1.111427-3 3.462061-4 1.040457-4 3.027005-5
             8.866844-6 2.394866-6                                            
 1.900000+7  8.506963-1 7.302673-1 6.409412-1 5.650244-1 4.804397-1 3.967590-1
             3.156534-1 2.503618-1 1.895118-1 1.254310-1 7.056275-2 3.330467-2
             1.329920-2 4.885132-3 1.668886-3 5.414522-4 1.692838-4 5.124094-5
             1.570405-5 4.435185-6                                            
 2.000000+7  8.491081-1 7.227667-1 6.313020-1 5.590675-1 4.819310-1 4.054701-1
             3.300643-1 2.668867-1 2.078100-1 1.439674-1 8.491086-2 4.188280-2
             1.755724-2 6.753215-3 2.405036-3 8.108224-4 2.629621-4 8.250890-5
             2.634677-5 7.750972-6 
